n,x_4d,y_4d,z_4d,w_4d,x_mm,y_mm,z_mm
34,-0.2368033989,0.0000000000,-0.8567627458,0.1463525492,-13.1432778030,0.0000000000,-18.8576390189
35,0.2368033989,0.1463525492,0.0000000000,0.8567627458,13.1432778030,8.1229924058,40.0143231687
36,0.0000000000,0.0000000000,0.7663118961,-0.4736067977,0.0000000000,0.0000000000,0.8610558291
37,0.1463525492,0.3831559480,0.7663118961,-0.2368033989,8.1229924058,21.2662702088,11.9207427456
38,-0.7663118961,-0.4736067977,0.0000000000,0.0000000000,-42.5325404176,-26.2865556060,0.0000000000
39,0.3831559480,-0.4736067977,0.6199593469,0.2368033989,21.2662702088,-26.2865556060,29.6512450511
40,0.6199593469,0.1463525492,-0.1463525492,-0.6199593469,34.4095480118,8.1229924058,-33.3435077797
41,0.7663118961,0.2368033989,-0.1463525492,-0.3831559480,42.5325404176,13.1432778030,-22.2838208632
42,0.0000000000,-0.6199593469,-0.3831559480,0.5295084972,0.0000000000,-34.4095480118,13.2399969241
43,0.0000000000,-0.1463525492,-0.8567627458,0.2368033989,0.0000000000,-8.1229924058,-14.6332145218
44,0.4736067977,-0.6199593469,0.3831559480,0.2368033989,26.2865556060,-34.4095480118,22.5499017475
45,-0.4736067977,0.0000000000,-0.7663118961,0.0000000000,-26.2865556060,0.0000000000,-22.9804296621
46,-0.2368033989,-0.3831559480,-0.1463525492,-0.7663118961,-13.1432778030,-21.2662702088,-40.1787701990
47,0.1463525492,0.6199593469,0.6199593469,0.1463525492,8.1229924058,34.4095480118,25.4268205540
48,-0.1463525492,-0.6199593469,-0.6199593469,0.1463525492,-8.1229924058,-34.4095480118,-11.7562957153
49,-0.2368033989,-0.3831559480,0.6199593469,0.4736067977,-13.1432778030,-21.2662702088,40.7109319676
50,-0.6199593469,-0.4736067977,-0.2368033989,-0.3831559480,-34.4095480118,-26.2865556060,-24.9962926394
51,0.6199593469,0.1463525492,0.6199593469,-0.1463525492,34.4095480118,8.1229924058,11.7562957153
52,-0.2368033989,0.7663118961,0.3831559480,0.1463525492,-13.1432778030,42.5325404176,18.3254772503
53,-0.2368033989,-0.1463525492,0.7663118961,-0.3831559480,-13.1432778030,-8.1229924058,5.0854803263
54,0.3831559480,-0.2368033989,0.4736067977,-0.6199593469,21.2662702088,-13.1432778030,-14.7519496450
55,-0.7663118961,-0.1463525492,-0.3831559480,-0.2368033989,-42.5325404176,-8.1229924058,-22.5499017475
56,0.3831559480,0.2368033989,-0.7663118961,-0.1463525492,21.2662702088,13.1432778030,-29.8156920814
57,-0.8567627458,0.1463525492,-0.2368033989,0.0000000000,-47.5528258148,8.1229924058,-7.1013433036
58,0.7663118961,0.0000000000,-0.4736067977,0.0000000000,42.5325404176,0.0000000000,-14.2026866072
59,-0.7663118961,0.3831559480,0.2368033989,0.1463525492,-42.5325404176,21.2662702088,13.9366057229
60,0.3831559480,-0.2368033989,-0.4736067977,0.6199593469,21.2662702088,-13.1432778030,14.7519496450
61,0.4736067977,-0.2368033989,-0.6199593469,0.3831559480,26.2865556060,-13.1432778030,-0.6966087989
62,-0.8567627458,-0.1463525492,0.2368033989,0.0000000000,-47.5528258148,-8.1229924058,7.1013433036
