# Icosahedron vertices -- Opera Numerorum -- Battle Plan v1.6
# David Fox -- June 2026
# 12 vertices, unit circumradius, edge_len=1.0514622242
n,x,y,z
1,0.000000000000,-0.525731112119,-0.850650808352
2,-0.525731112119,-0.850650808352,0.000000000000
3,-0.850650808352,0.000000000000,-0.525731112119
4,0.000000000000,-0.525731112119,0.850650808352
5,-0.525731112119,0.850650808352,0.000000000000
6,0.850650808352,0.000000000000,-0.525731112119
7,0.000000000000,0.525731112119,-0.850650808352
8,0.525731112119,-0.850650808352,0.000000000000
9,-0.850650808352,0.000000000000,0.525731112119
10,0.000000000000,0.525731112119,0.850650808352
11,0.525731112119,0.850650808352,0.000000000000
12,0.850650808352,0.000000000000,0.525731112119
