center_idx,angle,deviation
0,160.61538144167716,44.050330264599154
0,120.47947805117617,3.9144268740981687
0,66.89596256836943,49.66908860870858
0,85.93538040766049,30.629670769417515
0,70.78196187780576,45.78308929927225
0,97.09299821820173,19.472052958876276
0,72.20933973906662,44.35571143801138
0,95.9880409663498,20.577010210728204
0,58.545143028221766,58.01990814885624
0,105.50786455918539,11.057186617892611
0,126.3018354592828,9.736784282204795
0,75.87179173659842,40.69325944047958
0,132.37437903558214,15.809327858504133
0,102.61024654034823,13.954804636729776
0,97.78985947377956,18.775191703298447
0,100.55085420764095,16.01419696943705
0,99.82980101625809,16.735250160819916
0,66.09893509469653,50.466116082381475
0,128.44546116447438,11.880409987396376
0,79.77812307739012,36.786928099687884
0,70.91038063548638,45.65467054159163
0,60.532531347631505,56.0325198294465
0,43.57592705558219,72.98912412149582
0,157.85572380763813,41.290672630560124
0,60.24162491482464,56.32342626225336
0,88.18357197020995,28.38147920686805
0,114.72413426058905,1.8409169164889505
0,67.3175946128205,49.247456564257504
0,99.68155664864013,16.88349452843788
0,53.62526294432108,62.939788232756925
0,58.296142741839624,58.26890843523838
0,115.09015840122552,1.4748927758524815
0,42.219876813604394,74.3451743634736
0,97.14619073136333,19.41886044571467
0,148.62438567521534,32.05933449813733
0,50.9194114894399,65.6456396876381
0,89.04215744291366,27.52289373416434
0,68.31641941669366,48.24863176038434
0,155.79875087522413,39.233699698146125
0,87.85713364255133,28.707917534526672
0,49.89781067974456,66.66724049733344
0,95.92756475896655,20.63748641811145
0,27.390237379438705,89.1748137976393
0,138.348716671747,21.78366549466901
0,94.71641283350114,21.848638343576866
0,101.15266694743926,15.412384229638747
0,113.91061363322316,2.65443754385484
0,80.5001615550163,36.0648896220617
0,128.91940872932932,12.354357552251315
0,58.17902674089968,58.386024436178324
0,104.23239465285745,12.332656524220553
0,136.19806211311257,19.633010936034566
0,166.60830447623619,50.04325329915818
0,91.43099308172665,25.13405809535135
0,51.4919198096431,65.07313136743491
0,29.644874351505226,86.92017682557278
0,51.68188454516403,64.88316663191398
0,46.22732144963975,70.33772972743824
0,171.71982256596453,55.15477138888653
0,141.71402033777676,25.148969160698755
0,97.84139753376773,18.72365364331027
0,121.6311466703179,5.066095493239899
0,136.9801599458919,20.415108768813894
0,139.6695122222098,23.104461045131785
0,110.08242595050733,6.482625226570676
0,46.05708707551695,70.50796410156106
1,160.61538144167716,44.050330264599154
1,120.47947805117617,3.9144268740981687
1,66.89596256836943,49.66908860870858
1,85.93538040766049,30.629670769417515
1,70.78196187780576,45.78308929927225
1,97.09299821820173,19.472052958876276
1,72.20933973906662,44.35571143801138
1,95.9880409663498,20.577010210728204
1,58.545143028221766,58.01990814885624
1,105.50786455918539,11.057186617892611
1,126.3018354592828,9.736784282204795
1,75.87179173659842,40.69325944047958
1,132.37437903558214,15.809327858504133
1,102.61024654034823,13.954804636729776
1,97.78985947377956,18.775191703298447
1,100.55085420764095,16.01419696943705
1,99.82980101625809,16.735250160819916
1,66.09893509469653,50.466116082381475
